#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
25.5%	25500	102.00000000003273	-2959152.9285995327	565061.6118764166	-2394091.316723116	299.60275969906036	2292.52208939	31.8	13:29
25.8%	25750	103.00000000003395	-2957421.679540176	563046.8824221875	-2394374.7971179886	298.53452485201495	2292.982601853363	31.8	13:26
26.0%	26000	104.00000000003517	-2958390.0099014565	564405.7193278596	-2393984.290573597	299.25499723655435	2294.9046816998057	31.8	13:23
26.2%	26250	105.0000000000364	-2959873.793056961	565435.6308565242	-2394438.162200437	299.80106925728353	2292.152823329925	31.8	13:21
26.5%	26500	106.00000000003762	-2958072.2407102585	564178.5366342624	-2393893.704075996	299.13454212063954	2296.02305487843	31.8	13:18
26.8%	26750	107.00000000003884	-2960145.6690354235	565017.623665117	-2395128.045370307	299.57943659725584	2294.6897652911944	31.8	13:15
27.0%	27000	108.00000000004006	-2956375.832618866	561906.609608407	-2394469.223010459	297.92993789257883	2296.336581294753	31.8	13:12
27.2%	27250	109.00000000004128	-2960600.127208125	564831.0055986204	-2395769.1216095043	299.4804893558278	2292.7011435008526	31.8	13:10
27.5%	27500	110.0000000000425	-2959477.558108337	564566.1413440405	-2394911.4167642966	299.34005500327237	2291.5834572683702	31.8	13:07
27.8%	27750	111.00000000004373	-2959656.960092224	565305.6572101491	-2394351.3028820753	299.73215559844755	2294.630859190348	31.8	13:04
28.0%	28000	112.00000000004495	-2961025.1084347405	565757.39877533	-2395267.7096594106	299.97167464690943	2296.2363970977985	31.8	13:02
28.2%	28250	113.00000000004617	-2957077.1491484083	564865.033423738	-2392212.1157246702	299.4985313358482	2300.226411592923	31.8	12:59
28.5%	28500	114.0000000000474	-2957479.848468557	564593.2175788676	-2392886.6308896895	299.35441116285915	2299.873496957568	31.8	12:56
28.8%	28750	115.00000000004862	-2956339.876121193	564660.4515460359	-2391679.4245751575	299.3900594562236	2299.201389793714	31.8	12:54
29.0%	29000	116.00000000004984	-2956917.230515439	564620.9108512714	-2392296.3196641677	299.36909448351463	2297.6339822288987	31.8	12:51
29.2%	29250	117.00000000005106	-2957321.156186767	564714.9736771147	-2392606.1825096523	299.41896777452473	2296.1591706975178	31.8	12:48
29.5%	29500	118.00000000005228	-2958692.601225391	567226.7064511206	-2391465.8947742702	300.7507200204786	2298.4589876550053	31.8	12:46
29.8%	29750	119.0000000000535	-2957476.2634951286	566134.2705459453	-2391341.992949183	300.17149679047014	2296.0715679160317	31.8	12:43
30.0%	30000	120.00000000005473	-2958196.699242227	566911.905667336	-2391284.793574891	300.58380869329767	2295.1853024435786	31.8	12:40
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
11.2%	25250	101.00000000000122	-2959234.6155899838	565875.827546903	-2393358.788043081	300.03446706820523	2294.688663139474	0	--
11.3%	25500	102.00000000000244	-2959790.9824757315	565950.4319625922	-2393840.5505131395	300.0740232658949	2294.688663139474	31.7	36:16
11.4%	25750	103.00000000000367	-2958777.6914443746	564979.7275386286	-2393797.963905746	299.5593435952908	2294.688663139474	31.7	36:14
11.6%	26000	104.00000000000489	-2960428.6465302687	566039.1596397391	-2394389.4868905297	300.1210677940953	2294.9554686849956	31.7	36:09
11.7%	26250	105.00000000000611	-2961107.781392917	566188.4191995049	-2394919.362193412	300.2002070863024	2294.5979033330864	31.7	36:07
11.8%	26500	106.00000000000733	-2960361.374813134	565811.5660577103	-2394549.8087554234	300.0003948199763	2294.432003027429	31.7	36:02
11.9%	26750	107.00000000000855	-2958133.180537803	563877.7490710948	-2394255.4314667084	298.97506077893433	2294.432003027429	31.7	35:58
12.0%	27000	108.00000000000978	-2958173.6446410604	564615.2263618805	-2393558.41827918	299.3660804958836	2294.6457640981785	31.8	35:55
12.1%	27250	109.000000000011	-2959264.5853503197	567442.2643595664	-2391822.3209907534	300.865011529383	2294.6457640981785	31.8	35:52
12.2%	27500	110.00000000001222	-2958121.57818326	566197.2240982454	-2391924.354085014	300.20487555414036	2294.6457640981785	31.8	35:48
12.3%	27750	111.00000000001344	-2958968.96482211	567264.9877346623	-2391703.9770874474	300.7710172375481	2294.3005064912986	31.8	35:45
12.4%	28000	112.00000000001467	-2958074.5396080688	566106.9198615879	-2391967.619746481	300.1569951142973	2292.3780443703617	31.8	35:42
12.6%	28250	113.00000000001589	-2957211.2053228356	565557.4809874088	-2391653.724335427	299.8656757262338	2295.5706307109945	31.8	35:39
12.7%	28500	114.00000000001711	-2956990.378110353	565741.8219522807	-2391248.5561580723	299.96341561979654	2296.6073235232902	31.8	35:37
12.8%	28750	115.00000000001833	-2955976.546954341	565653.9267969216	-2390322.6201574197	299.9168125050985	2298.362992293156	31.8	35:34
12.9%	29000	116.00000000001955	-2956228.4436753653	565505.3753712556	-2390723.06830411	299.8380486744801	2296.453262158533	31.8	35:31
13.0%	29250	117.00000000002078	-2957282.501877267	567368.5798689193	-2389913.9220083477	300.82594308749833	2296.457172752921	31.8	35:28
13.1%	29500	118.000000000022	-2955539.1176323667	566463.984258495	-2389075.1333738714	300.34631513968077	2295.821696671822	31.8	35:26
13.2%	29750	119.00000000002322	-2955331.9901081175	566737.072923163	-2388594.9171849545	300.49111017770383	2296.430255181165	31.8	35:23
13.3%	30000	120.00000000002444	-2956773.7149776425	567687.5179217074	-2389086.197055935	300.995048046639	2294.810130091885	31.8	35:20
13.4%	30250	121.00000000002566	-2957701.1306735706	568182.273893666	-2389518.8567799046	301.25737387352393	2292.0777681131185	31.8	35:17
13.6%	30500	122.00000000002689	-2957246.5991576947	566679.0032658811	-2390567.5958918137	300.4603209164786	2291.349138246554	31.8	35:14
13.7%	30750	123.00000000002811	-2957762.541272627	566650.8983786057	-2391111.6428940212	300.4454193524513	2289.1938933847878	31.8	35:11
13.8%	31000	124.00000000002933	-2957888.525576014	566819.246388514	-2391069.2791875	300.53467958053665	2289.8651176492544	31.8	35:09
13.9%	31250	125.00000000003055	-2957269.860189434	566869.5773142059	-2390400.282875228	300.5613656691305	2290.948548266703	31.8	35:06
14.0%	31500	126.00000000003178	-2958024.208096072	568138.5616578149	-2389885.6464382573	301.23419709736646	2291.4039113711865	31.8	35:04
14.1%	31750	127.000000000033	-2956960.4799082037	566662.9462830612	-2390297.5336251426	300.451807302628	2291.402756518268	31.8	35:01
14.2%	32000	128.00000000003422	-2954932.415537931	566042.5898546084	-2388889.8256833227	300.1228865370777	2293.2424693269713	31.8	34:59
14.3%	32250	129.0000000000319	-2957564.2191880606	568516.1414948149	-2389048.077693246	301.43439466661255	2296.038829148275	31.8	34:56
14.4%	32500	130.00000000002956	-2957046.387430409	567417.7594442101	-2389628.6279861988	300.8520187156568	2296.546515863345	31.8	34:54
14.6%	32750	131.00000000002723	-2958314.175322037	567600.5944752964	-2390713.580846741	300.9489601442229	2295.451518788781	31.8	34:51
14.7%	33000	132.0000000000249	-2956860.4632481765	565634.6871207788	-2391225.7761273975	299.90661138729655	2294.659127695782	31.8	34:49
14.8%	33250	133.00000000002257	-2957504.765132766	565890.4714240032	-2391614.293708763	300.0422314356648	2292.73160132997	31.8	34:46
14.9%	33500	134.00000000002024	-2956875.0227914676	566507.6478624623	-2390367.3749290053	300.3694661306029	2294.424858842039	31.8	34:44
15.0%	33750	135.0000000000179	-2956293.9410039596	566758.179982761	-2389535.7610211987	300.5023014056546	2294.525408960904	31.8	34:41
15.1%	34000	136.00000000001558	-2954084.8892	565244.7103659506	-2388840.1788340495	299.69984081660243	2294.3259772134365	31.7	34:39
15.2%	34250	137.00000000001324	-2957024.7305163257	567120.6671928335	-2389904.063323492	300.69449667464954	2294.3259772134365	31.7	34:36
15.3%	34500	138.0000000000109	-2954707.1021603197	565111.2850382439	-2389595.8171220757	299.6290970329964	2294.2684822172073	31.7	34:34
15.4%	34750	139.00000000000858	-2956093.228226984	567491.3219944825	-2388601.9062325014	300.89102250322424	2295.756689437247	31.7	34:31
15.6%	35000	140.00000000000625	-2955965.681715073	567841.7880869472	-2388123.893628126	301.07684402476536	2295.9991306213033	31.7	34:28
15.7%	35250	141.00000000000392	-2956220.4959457237	567041.3760375965	-2389179.119908127	300.65245550882014	2295.428145221505	31.7	34:26
15.8%	35500	142.0000000000016	-2957305.483376378	567840.0491384136	-2389465.4342379645	301.07592201242426	2292.9410718748404	31.7	34:23
15.9%	35750	142.99999999999926	-2956472.811995689	567067.6095196354	-2389405.2024760535	300.66636483029976	2293.542917109451	31.7	34:21
16.0%	36000	143.99999999999693	-2956036.9647387937	566425.8001309865	-2389611.164607807	300.3260694359596	2294.451996943149	31.7	34:18
16.1%	36250	144.9999999999946	-2956819.415677592	567181.5977169382	-2389637.817960654	300.7268028033761	2295.7401279949017	31.7	34:16
16.2%	36500	145.99999999999227	-2956873.48402855	566027.2938937881	-2390846.190134762	300.11477642664426	2295.0160688608235	31.7	34:13
16.3%	36750	146.99999999998994	-2957061.1695438754	567162.8482051366	-2389898.321338739	300.7168615768607	2292.8762491860466	31.7	34:11
16.4%	37000	147.9999999999876	-2956404.2409938984	566779.60580505	-2389624.6351888482	300.51366164558533	2291.662079399769	31.7	34:08
